"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-509-3-5p",158.513196032473,6.66993192362419,1.22318098260072,5.45293952285182,4.95439224907434e-08,4.58281283039376e-07
"hsa-miR-224-5p",1111.56066887183,-2.19173876717485,0.365830495543687,-5.99113194190537,2.08385485019847e-09,2.43995662839695e-08
"hsa-miR-2114-5p",57.9409003262245,1.16422299092859,0.413755434425932,2.81379504427271,0.00489604333622488,0.0155097263219453
"hsa-miR-3614-5p",16.5267411654424,-1.88760509146909,0.470927214115358,-4.00827353971246,6.11642515271008e-05,0.000316072249511554
"hsa-miR-4649-3p",1.92866115928552,2.97069404800646,0.954775043364466,3.11140730861401,0.0018619791879138,0.00664992567112073
"hsa-miR-3943",3.6087658891552,3.3327249331262,0.934911248224083,3.56475006526758,0.000364203074724671,0.00156245212922452
"hsa-miR-934",7.38764454333756,-3.82657657414381,0.798594083242731,-4.79164152908046,1.65422267227264e-06,1.14190744168074e-05
"hsa-miR-2682-5p",1.2683761365551,2.71559781396678,1.13802106995205,2.38624563786082,0.0170213776766518,0.0463081598555968
"hsa-miR-100-5p",36499.3879210013,1.8117577828577,0.262424295795004,6.90392548208636,5.05848421345939e-12,8.82848659896214e-11
"hsa-miR-29c-3p",7462.79793007601,1.52512311389972,0.13976246478562,10.9122511272185,1.00730577358622e-27,5.82348650354533e-26
"hsa-miR-223-5p",43.8452156344546,2.31651788327097,0.354813442335334,6.52883348506744,6.62838908159412e-11,9.52773546736087e-10
"hsa-miR-3927-3p",1.88247156901791,-4.13282015297487,1.15088196833003,-3.59100261078184,0.000329408335918657,0.00144651251001687
"hsa-miR-183-5p",592.936530061761,-2.82211586589773,0.390221954423013,-7.23207865141917,4.75656570280868e-13,9.77738505577339e-12
"hsa-miR-382-3p",120.026462358207,1.14715497089295,0.258190105477636,4.44306325670687,8.86870775781462e-06,5.39707544472271e-05
"hsa-miR-30d-5p",116224.530920855,-1.82470063659866,0.30429595666353,-5.9964669153205,2.0165667092665e-09,2.39144128983527e-08
"hsa-miR-21-5p",793490.707845278,1.16664876659292,0.196667303796005,5.93209315465594,2.99096834613664e-09,3.41561200021777e-08
"hsa-miR-708-3p",1009.56784192434,2.28941431877046,0.271709937196341,8.425949902289,3.57835270108968e-17,1.10332541616932e-15
"hsa-miR-3129-3p",9.47396298131355,1.24335208145534,0.460830204314809,2.69806985265655,0.00697428046437038,0.0210823837566752
"hsa-miR-200c-3p",6715.33089214413,-4.89710208424568,0.376926210114138,-12.9922036537676,1.35469434004348e-38,2.48083294883002e-36
"hsa-miR-3664-3p",5.83476023272543,-3.67452527088569,0.697951252053395,-5.26473053823619,1.40395124102134e-07,1.15951330173638e-06
"hsa-miR-381-3p",9266.14145058858,1.374008918135,0.292899751851122,4.69105524825914,2.71799558288901e-06,1.80873806774988e-05
"hsa-miR-514a-3p",250.333981612068,6.07182885929968,0.795972581733344,7.62818845603628,2.38075365929649e-14,5.37121252402257e-13
"hsa-miR-369-3p",1613.69215353452,1.09755301804388,0.26792167269308,4.09654436317733,4.1936315272596e-05,0.000221663380726579
"hsa-miR-134-5p",558.669063377357,1.50534081615415,0.281034542953064,5.35642629669749,8.48841024518495e-08,7.4073391290529e-07
"hsa-miR-513c-3p",4.12351898088136,3.85314059189505,1.37852413693223,2.79512014963323,0.00518804297418195,0.0163229243235316
"hsa-miR-33b-5p",415.814942417679,-1.73600866765876,0.402923769464128,-4.3085288067457,1.64344074043214e-05,9.38384373394894e-05
"hsa-miR-885-3p",1.57225767587706,-3.44998604412504,1.21141431366299,-2.8478993563261,0.0044008839623121,0.0144355236352436
"hsa-miR-136-3p",8746.296499452,1.27680834069129,0.273501936391643,4.66837038719519,3.0359821184506e-06,2.00591675683343e-05
"hsa-miR-3176",12.3476221718778,-1.63476478735737,0.421846312060823,-3.8752615362954,0.000106510240373803,0.000532551201869014
"hsa-miR-191-3p",18.886818737593,-1.16166700619288,0.304758513495555,-3.81176227980854,0.000137979543299485,0.000661300919958672
"hsa-miR-4792",426.95819107589,1.34866256904623,0.295965981513807,4.55681616565555,5.19348407627402e-06,3.29039230859827e-05
"hsa-miR-539-3p",484.430818225538,1.47524635659142,0.25701383532135,5.73994919280079,9.4704959570753e-09,9.84293119134231e-08
"hsa-miR-455-5p",1746.38174931865,-1.299929314272,0.280909578131224,-4.62757205688709,3.69977524399048e-06,2.39321125922461e-05
"hsa-miR-203b-3p",11.7782798200459,-4.52726861703029,0.663164666128814,-6.82676392193505,8.68514411699318e-12,1.4877330200405e-10
"hsa-miR-664b-5p",1.3758424232629,2.37116556065023,0.981535424392364,2.41577176098167,0.0157019003044964,0.0436163897347122
"hsa-miR-767-5p",117.51070083373,-6.67577648203575,0.560801870254031,-11.9039839845965,1.12829155121849e-32,8.02822834520852e-31
"hsa-miR-506-3p",24.2030016223857,4.29284679757852,0.841110138754729,5.103786769155,3.32923386184063e-07,2.50369213187202e-06
"hsa-miR-27a-5p",211.960719382716,-2.12108826282457,0.389268744255069,-5.44890462984288,5.06809787872629e-08,4.62077877863612e-07
"hsa-miR-487a-5p",8.66805136535862,1.74603659579348,0.454784773316472,3.83925913583404,0.000123406128158545,0.000600792992350811
"hsa-miR-4636",2.3532291405026,-3.61815555125386,0.835625987697697,-4.32987437504493,1.49194428628493e-05,8.57172959511529e-05
