"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000074416",2928.67764439835,-1.26883442087779,0.273655166883417,-4.63661781112411,3.54156374935751e-06,2.28435429628593e-05,"MGLL"
"ENSG00000155754",19.7347357616583,1.09992640408731,0.398258681158473,2.76183911644509,0.00574767929580724,0.0167052368219675,"C2CD6"
"ENSG00000112214",96.111717718889,2.63822499484549,0.413019440035032,6.38765331390144,1.68450693971175e-10,2.3368153135918e-09,"FHL5"
"ENSG00000267924",2.70568645393233,-2.88667935795934,0.82370952310958,-3.50448705152984,0.00045748781488551,0.0018286105466171,NA
"ENSG00000175707",164.548804150496,-4.70967198200311,0.430463240812375,-10.9409388200372,7.34354914285846e-28,7.71746420465281e-26,"KDF1"
"ENSG00000259307",5.40736053794987,1.57144304170453,0.578974286141606,2.71418451444004,0.00664391493643901,0.0189305205187341,NA
"ENSG00000147655",15.7360997503296,6.04887466157176,0.882183983660547,6.85670424039266,7.04673087178423e-12,1.19866330237391e-10,"RSPO2"
"ENSG00000260896",10.426700425299,-1.53800912542828,0.534238707837948,-2.87887998915796,0.00399090171980403,0.0122045451492499,"ARLNC1"
"ENSG00000141485",50.5586562290782,4.09388205226935,0.920401627984892,4.44793004248853,8.67017557708702e-06,5.17211308878873e-05,"SLC13A5"
"ENSG00000141480",1555.43295990442,2.49551402973151,0.330149083816499,7.55874891695457,4.06964607268333e-14,9.47352987253188e-13,"ARRB2"
"ENSG00000278556",9.880580118674,2.85067892876984,0.731985027376233,3.89444977991964,9.84218791640725e-05,0.000461733412476104,NA
"ENSG00000148341",1657.28156230911,-1.35723944314952,0.167296696271408,-8.11276895120302,4.94790982684849e-16,1.47142697982573e-14,"SH3GLB2"
"ENSG00000223177",3.55412589639948,1.87151548554218,0.748164810909268,2.50147488661979,0.0123677213643297,0.0323347431609372,"RNA5SP39"
"ENSG00000108984",546.603549221609,-3.56097319440157,0.602772354587415,-5.90765845065835,3.4700451457969e-09,3.9276565313007e-08,"MAP2K6"
"ENSG00000211669",81.5898162836883,8.09208916976857,0.935619181925162,8.64891328234422,5.19921506219256e-18,1.93557874883561e-16,"IGLV3-10"
"ENSG00000211663",561.486817395787,9.07669336358292,0.917840515570543,9.88918358865507,4.63794735637396e-23,3.02535322555124e-21,"IGLV3-19"
"ENSG00000211662",359.383793214897,9.95826229439134,1.28305344348202,7.7613776300433,8.4011755725165e-15,2.13813124876107e-13,"IGLV3-21"
"ENSG00000211665",1.09416440455537,3.63911649292186,1.48544560568488,2.44984836805519,0.0142916385413689,0.0364934819225865,"IGLV3-16"
"ENSG00000211664",13.359735979432,7.25861997407151,0.918187313843977,7.90538037787019,2.6711667286476e-15,7.33983780767399e-14,"IGLV2-18"
