"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"201101_s_at",-1.33321487823884,5.90175254040572,-4.49203455909329,1.42040474888503e-05,0.00058656064686774,2.74903654727424,"BCLAF1"
"1558251_a_at",-1.01691839278375,5.03576151721777,-4.47332160136291,1.53426218081617e-05,0.000619083282185417,2.67636964021999,NA
"1558699_a_at",-1.04020129476987,5.86579577840381,-4.45820082593568,1.63263584762643e-05,0.000640806640121858,2.61781929751615,NA
"232210_at",-1.22894742365469,6.12424643329871,-4.45784189127289,1.63504327443843e-05,0.000641285535311292,2.61643125872187,NA
"232297_at",-1.05842079173819,5.54467967926602,-4.45643134180492,1.6445371849826e-05,0.000642095777665592,2.61097733137491,NA
"228897_at",1.01971938097305,6.00366556230688,4.4497491372111,1.69023869945656e-05,0.000653101066380124,2.58515815224702,NA
"219245_s_at",1.02175241162159,7.10050592933702,4.43004386180375,1.83223895384212e-05,0.000690404306004949,2.50919040655679,"OGFOD2"
"231274_s_at",1.05249691143383,4.77353500483715,4.41900678585754,1.91671978820339e-05,0.000708085502837974,2.46675206517061,NA
"225173_at",-1.08988779220095,6.92322398920056,-4.40302018816791,2.04576140568607e-05,0.00073783897384689,2.40542518032954,NA
"238481_at",-1.34121317538481,3.87103553529885,-4.37431117416842,2.29876116640364e-05,0.000795976990330078,2.29571860516987,NA
"219298_at",1.05137630033722,7.39486166368097,4.35565581911437,2.47900637549173e-05,0.000838216905256713,2.22472436032384,"ECHDC3"
"229659_s_at",1.19882903931895,9.43222624736751,4.34885758128024,2.54800654703017e-05,0.000852584198034726,2.19891095671055,NA
"226067_at",1.8121795965718,3.55988635431834,4.34570445576205,2.58063281604221e-05,0.00085767257906464,2.18694880157113,NA
"1559530_at",1.10703173195471,4.8797020345698,4.3296639464427,2.75292027330047e-05,0.000888192153640267,2.12619829790357,NA
"213850_s_at",-1.00385554083149,8.086259631042,-4.32960614687506,2.75356061820497e-05,0.000888192153640267,2.12597970454098,"SCAF11"
"1555920_at",-1.21434940638271,4.89740747940367,-4.31819912716857,2.88277536673217e-05,0.000919578431599074,2.0828831817884,NA
"216005_at",-1.15400591363485,4.23161524406008,-4.3096179426868,2.98379730208464e-05,0.000937581135008493,2.05052053100101,"TNC"
"229733_s_at",1.48433698795207,8.86843229850105,4.30895313823845,2.99176400038367e-05,0.000938017528465208,2.04801538981988,NA
"211909_x_at",1.22970674645047,5.98167953109857,4.29841511438249,3.12080716817016e-05,0.000962682209966563,2.00834539730602,"PTGER3"
"200906_s_at",-1.25517137427996,8.29818066605383,-4.27593791704818,3.41413712043692e-05,0.00101948633020147,1.92398142551161,"PALLD"
"216604_s_at",1.05266376828278,4.62308341846622,4.26834449625091,3.51907904219225e-05,0.00103778665928728,1.89555822418932,"SLC7A8"
"233528_s_at",1.04886863960137,6.13926161472914,4.26585003013432,3.5542230544089e-05,0.00104589421689885,1.8862296337885,NA
"206208_at",1.04721802673443,4.96859675700183,4.23035267603237,4.0923133066319e-05,0.00114778452231617,1.75393823721358,"CA4"
"238742_x_at",1.04977768887931,6.26372712969074,4.22864388016251,4.12009447676086e-05,0.00115284629230758,1.74759157158692,NA
"235419_at",-1.47336842676785,7.48579462555456,-4.22186581082141,4.23208170031725e-05,0.00117695354509077,1.7224366924836,NA
"216563_at",-1.26366239871717,6.71644214580675,-4.22119797805743,4.24327217051189e-05,0.00117946571389292,1.7199599208045,"ANKRD12"
"212013_at",-1.01425655165924,9.1282856580709,-4.21440712054065,4.35868449552355e-05,0.00119814517241202,1.6947921974338,"PXDN"
"222111_at",-1.06897143670716,5.31687815912276,-4.20522693638689,4.51949416640678e-05,0.00122510333935692,1.66081955767599,"MINDY2"
"241837_at",-1.11157579921917,6.60539983838541,-4.20197112686441,4.57787995093053e-05,0.00123419914357558,1.64878483081571,NA
"223657_at",1.00819775241536,6.80711392705214,4.19799987007013,4.65007422529365e-05,0.00124347063588692,1.63411538421124,NA
"215199_at",-1.02227420923824,4.90953831668782,-4.17026102250368,5.18562182407799e-05,0.00133800789632593,1.53195316432298,"CALD1"
"243495_s_at",1.43942394977319,6.17658258311345,4.16863028341306,5.21887817061658e-05,0.00134278665401629,1.52596364974965,NA
"1554411_at",-1.19317503491484,6.26525305225425,-4.15846198288879,5.43089613745647e-05,0.00137781030184865,1.48865809373779,NA
"230958_s_at",1.17406742919632,6.70781555762308,4.1468516793658,5.68306127622929e-05,0.00140862368079873,1.44614952823738,NA
"219644_at",-1.00193040620141,5.90609194567253,-4.13617540593942,5.92479705082945e-05,0.00144246094372236,1.40714312592229,"CEP83"
"228498_at",1.16118848798866,10.1685353094885,4.12645566856289,6.15340329620298e-05,0.00148668725240786,1.3717002782499,NA
"222834_s_at",-1.03438292617184,6.18220009533524,-4.12238242853843,6.25169266517979e-05,0.00150246723722508,1.35686680452092,NA
"205005_s_at",-1.02347978212483,6.06145865432286,-4.00313646364865,9.89366725052907e-05,0.0020322777490478,0.927758280386525,"NMT2"
"232174_at",-1.4287484660048,8.46778782276502,-4.00125345062577,9.96488491116587e-05,0.00203903473996255,0.921062635723975,NA
"213789_at",1.02909788916436,5.65165716003803,3.98828915610924,0.000104686443280242,0.00209943036861574,0.875032370359037,"EBP"
"222528_s_at",1.04969359031915,6.98637523768499,3.96393534112863,0.00011481327095227,0.0022387359448343,0.78888659335667,NA
"213934_s_at",-1.04128648486283,4.7654684264764,-3.96135278782816,0.000115940292452459,0.00225212765159223,0.77977624230402,"ZNF23"
"213432_at",1.76384414916007,4.93241033662354,3.94675923682239,0.000122509582750153,0.00233712890330237,0.728384867307348,"MUC5B"
"232783_at",-1.02707553038834,6.06458452226123,-3.94025327277348,0.000125551137840828,0.00237034131956052,0.70552316638928,NA
"235102_x_at",1.23671885715414,3.72407923484971,3.9262331403897,0.000132351821511598,0.0024657182380108,0.656360174105368,NA
"225786_at",-1.06226019674448,7.65691504038381,-3.91188483205739,0.0001396739375746,0.00254895612045769,0.606192641140995,NA
"213979_s_at",1.01441201245555,7.44913879279365,3.88267875264356,0.000155785995520121,0.0027361385496507,0.50453471864915,NA
"228834_at",1.30289988416434,8.06063929393686,3.88041364095004,0.000157106812578758,0.00274681418543998,0.496676272742178,NA
"229490_s_at",1.08679675141005,6.73744236982574,3.87175038986185,0.000162257363922973,0.00279326869410848,0.466654772703618,NA
"1555878_at",-1.10490320609529,6.60457102924754,-3.87068738521844,0.000162900295037041,0.00279816953539121,0.462974797920675,NA
"228058_at",1.42992686041288,6.52040392165591,3.80024370511314,0.000211340884815761,0.00331090626856784,0.220941088270502,NA
"203240_at",1.22109190336754,6.82694919267371,3.79761650593078,0.000213388703510475,0.00333058160560526,0.211984545613911,"FCGBP"
"227404_s_at",1.45946268540564,10.8629210159654,3.78822153119588,0.000220866869046716,0.00340645869256113,0.179997000882234,NA
"211582_x_at",1.00301893219181,6.30115356621229,3.74253067212586,0.000260917225403703,0.00380450660867848,0.0253569707176293,"LST1"
"214349_at",1.22633828392229,4.77164209005579,3.73746657592625,0.000265757313921052,0.00385520858016278,0.00831246345780912,NA
"231592_at",-1.07400390829918,5.76838610521969,-3.73326343260508,0.000269838984154139,0.00389062594327502,-0.00581987255683103,NA
"224726_at",-1.14157415965064,8.16374915477246,-3.72836042547503,0.000274675296959425,0.00392915405923497,-0.0222888438800783,NA
"228251_at",1.36032751050125,5.7915740196308,3.72271445343326,0.000280346116177937,0.00398231330268348,-0.0412313259551267,NA
"238735_at",-1.17719566574226,6.98761550457396,-3.72116334037209,0.000281923355542327,0.00400159903018607,-0.0464312379078766,NA
"202018_s_at",1.2551177021436,5.22859036807852,3.70086152574013,0.000303357049420606,0.00420699879530104,-0.114325767928356,"LTF"
"1554466_a_at",1.2634919894239,7.01763185533094,3.69348678024138,0.000311517861930505,0.00427730765973138,-0.138912917853663,NA
"1555759_a_at",1.00953687039067,7.36808135625484,3.66706683838758,0.000342490803597202,0.0045705844976024,-0.2266631292673,NA
"231550_at",1.03758831135307,6.77156874319855,3.6465453561043,0.000368533625455288,0.00478953552930066,-0.294462186193755,NA
"226613_at",1.16471176910653,5.68750551550452,3.59977893648464,0.000435038708532292,0.00534511042449507,-0.447787225594126,NA
"240798_at",-1.01092331722374,7.59729850902835,-3.55059867587674,0.000517095181406202,0.00606959618793132,-0.607243031296321,NA
"1554966_a_at",-1.09170284280122,6.07367366978538,-3.5486261077585,0.000520672642502855,0.0060945786188918,-0.613600322473376,NA
"228868_x_at",1.191544861917,6.10663195790477,3.5431632456466,0.000530702137325737,0.00617496049335703,-0.631190842385007,NA
"230291_s_at",1.02046874083453,5.7655154786781,3.5253337337291,0.000564716146700343,0.00641776248614451,-0.688443896824201,NA
"205392_s_at",1.11888383823553,7.1921751203361,3.50169792550335,0.000612975574406842,0.00677333054379428,-0.763967321840386,NA
"218872_at",1.0276551208146,6.18486802427698,3.49952588683134,0.000617599775422825,0.00680791687928285,-0.770886167856144,"TESC"
"205559_s_at",-1.07738237082289,9.50582217210176,-3.48856698669847,0.000641435228974812,0.00698475824421387,-0.805739626529133,"PCSK5"
"201110_s_at",-1.07086959145104,9.77686539663125,-3.4881750135542,0.000642303570148303,0.00699003736024253,-0.806984542165252,"THBS1"
"209032_s_at",-1.08242665602657,6.50229142447457,-3.44448147930728,0.000746330380878995,0.00776706030955503,-0.945014963809816,"CADM1"
"228919_at",-1.26903970940378,10.0429721597284,-3.40822535939395,0.000844443169897987,0.00841902449200811,-1.05843047834257,NA
"205560_at",-1.20587177034013,7.23553759314737,-3.34442355753143,0.00104702027615907,0.00976724681777803,-1.25553113368237,"PCSK5"
"229455_at",-1.06978858480343,4.35301801746686,-3.31211654408496,0.00116613682275291,0.0104992091395955,-1.35412115418932,NA
"1563010_at",-1.17819247752129,5.75167362452,-3.1982598715817,0.00169435328686187,0.0134864996301023,-1.69499914649209,NA
"206209_s_at",1.1363643206738,5.21899932940938,3.1456961939733,0.00200679895077862,0.0151528425126116,-1.848884443763,"CA4"
"205157_s_at",1.03479556295351,6.17247945086286,3.14314907029872,0.0020232185557247,0.0152342352212312,-1.85628503742619,"KRT17"
"215768_at",-1.03858021809737,7.59645029610523,-3.08703864580758,0.00241806088620472,0.0172353945448183,-2.01798445030212,NA
"204437_s_at",1.18498457858764,7.29100487571686,3.08698480555577,0.00241847182346312,0.0172353945448183,-2.01813838453677,"FOLR1"
"201109_s_at",-1.07605293195572,6.72493014773051,-3.03730785681506,0.00282638201421568,0.0190851471689814,-2.15916571033249,"THBS1"
"202920_at",-1.22917795245435,5.54028378291865,-3.013106480054,0.00304729909980616,0.0200929906273399,-2.2271421023189,"ANK2"
"203535_at",1.06681341517188,6.20622169596001,2.88104475828731,0.00455898165206584,0.0264469306977931,-2.58959326906605,"S100A9"
"1569111_at",1.01503589395793,6.02781428667321,2.83000951413177,0.00530799383592901,0.0292319261663395,-2.72578973388907,NA
"243110_x_at",1.06483274684896,5.26250419644732,2.81887456657682,0.00548565823365001,0.0299120737932397,-2.75521616626473,NA
"205200_at",1.09712740682139,9.77114136437692,2.81026530606465,0.00562672249007734,0.0304330061882858,-2.77789675272938,NA
"222196_at",-1.01943122444293,6.6847884454323,-2.72656895970558,0.00718060893490345,0.036054715172729,-2.99514143628843,NA
"202984_s_at",-1.01911281999756,7.09165432186272,-2.62839901196127,0.00949248722246217,0.0437385588141007,-3.2423930788805,"BAG5"
