"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","Significant"
"ILMN_1651967",27.8583533333334,103.857057894737,2.47714016660197,0.0236273818827998,0.643713090996158,-3.88596168703737,"TP53I3","Not Significant"
"ILMN_1714934",92.2106577777778,277.784647368421,2.47638821517485,0.023664032882718,0.643713090996158,-3.88640822665069,"FAM189B","Not Significant"
"ILMN_1829541",-5.86183444444438,82.6235684210526,-2.47632794713973,0.0236669727346584,0.643713090996158,-3.88644401554771,"","Not Significant"
"ILMN_1677932",-9.27952999999998,66.8447368421053,-2.47629692358526,0.0236684861860126,0.643713090996158,-3.88646243818629,"ZC3H15","Not Significant"
"ILMN_1673638",2443.64687000001,14910.0921315789,2.47625460683441,0.0236705507109995,0.643713090996158,-3.8864875669883,"","Not Significant"
"ILMN_1707277",7.12046222222222,69.1540894736842,2.47619447809273,0.0236734845287483,0.643713090996158,-3.88652327292725,"CCDC144B","Not Significant"
"ILMN_1702831",-10.2844733333333,69.4515526315789,-2.47615725984001,0.0236753006633544,0.643713090996158,-3.8865453739948,"","Not Significant"
"ILMN_1674866",119.772728888889,1004.33418947368,2.47594529255625,0.0236856465075706,0.643713090996158,-3.88667124432213,"TADA3","Not Significant"
"ILMN_1679363",14.1270822222223,79.5519842105263,2.47487884333009,0.0237377631256757,0.643713090996158,-3.88730450220143,"ABHD17A","Not Significant"
"ILMN_1840710",-8.62857444444438,68.8118894736842,-2.47483611042829,0.0237398537011142,0.643713090996158,-3.88732987629501,"","Not Significant"
"ILMN_1917126",-4.05634333333332,46.1193157894737,-2.47458010987376,0.0237523813700252,0.643713090996158,-3.88748188405097,"","Not Significant"
"ILMN_1900347",-4.66151888888884,54.8817578947368,-2.4745721513427,0.0237527709292676,0.643713090996158,-3.88748660962782,"","Not Significant"
"ILMN_1789358",14.7048022222223,84.8827473684211,2.47452405828537,0.023755125146882,0.643713090996158,-3.88751516604247,"ZNF628","Not Significant"
"ILMN_1757555",8.30153000000007,70.2900263157895,2.4741682178738,0.0237725508261513,0.643713090996158,-3.88772645270202,"","Not Significant"
"ILMN_1870609",-13.1893655555555,95.5221842105263,-2.47367798828716,0.0237965773253576,0.643713090996158,-3.88801752905333,"HS6ST2-AS1","Not Significant"
"ILMN_1906407",-5.59612222222221,62.1407947368421,-2.47353495633869,0.0238035917305191,0.643713090996158,-3.88810245363342,"","Not Significant"
"ILMN_1761594",107.457818888889,553.287057894737,2.47340231843336,0.0238100981430736,0.643713090996158,-3.88818120623962,"FAM35A","Not Significant"
"ILMN_1735191",6.49607111111112,58.5115736842105,2.47309008721221,0.0238254209280902,0.643713090996158,-3.88836658870111,"","Not Significant"
"ILMN_1788769",7.05718111111116,61.5207947368421,2.47253366621608,0.0238527503762289,0.643713090996158,-3.88869694768303,"MAS1","Not Significant"
"ILMN_1721513",-9.10609999999997,89.9030157894737,-2.4724324263521,0.0238577260962601,0.643713090996158,-3.88875705492519,"","Not Significant"
"ILMN_1908264",-6.79332333333331,58.6629,-2.47242226499,0.0238582255591639,0.643713090996158,-3.88876308782245,"","Not Significant"
"ILMN_1784967",119.231682222222,215.067794736842,2.47229752520758,0.0238643577140976,0.643713090996158,-3.88883714675897,"EPB41L4B","Not Significant"
"ILMN_1771057",313.761016666668,1032.40191052632,2.47197419385716,0.0238802594559834,0.643713090996158,-3.88902910876503,"XAB2","Not Significant"
"ILMN_1830974",-11.6157622222222,78.9323631578947,-2.47135595810303,0.0239106926551564,0.643713090996158,-3.88939614674283,"","Not Significant"
"ILMN_1744784",11.7571800000001,84.4616894736842,2.47132278188955,0.0239123268153922,0.643713090996158,-3.88941584266744,"TECTA","Not Significant"
"ILMN_1792176",48.9463366666669,390.619763157895,2.47113217532857,0.0239217175575409,0.643713090996158,-3.88952900056785,"TADA3","Not Significant"
"ILMN_1878775",-14.8559222222222,78.3720157894737,-2.47067888359477,0.0239440641365152,0.643713090996158,-3.88979810296872,"","Not Significant"
"ILMN_1770765",31.0575455555556,105.638421052632,2.47060257437524,0.0239478279948274,0.643713090996158,-3.88984340428334,"","Not Significant"
"ILMN_1860050",-12.0809077777778,79.4660052631579,-2.47051285042118,0.0239522542309147,0.643713090996158,-3.88989666908587,"LOC102724661","Not Significant"
"ILMN_1702171",-155.289606666666,651.198394736842,-2.47044827253985,0.0239554404448837,0.643713090996158,-3.88993500571867,"LPCAT1","Not Significant"
"ILMN_1863621",13.0227211111111,68.6570526315789,2.47044005813192,0.02395584576491,0.643713090996158,-3.88993988218933,"","Not Significant"
"ILMN_1711414",246.609380000001,1484.03481052632,2.46979360187906,0.0239877638349177,0.643713090996158,-3.89032364340238,"MRPS27","Not Significant"
