"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","threshold"
"221529_s_at",2.16570676833629,8.60288085472419,5.20018239470569,5.22376117177276e-05,0.0136881199634517,2.06879145680939,"PLVAP","TRUE"
"210715_s_at",-1.80287487254659,9.0065331278871,-5.19799415799885,5.24901097302202e-05,0.0136881199634517,2.06435081863647,"SPINT2","TRUE"
"205529_s_at",1.09687137540992,9.07849870752692,5.19454407039654,5.28907442275867e-05,0.0136881199634517,2.05734836436084,"RUNX1T1","TRUE"
"203650_at",2.07468078989322,8.17140150073493,5.1876716904725,5.36981114145887e-05,0.0136881199634517,2.04339581835779,"PROCR","TRUE"
"213922_at",1.4026253715591,6.08229214406946,5.16482008203663,5.64743049675389e-05,0.0136881199634517,1.9969631161103,"TTBK2","TRUE"
"203287_at",-1.41227582382873,8.21161317802232,-5.14216392293101,5.93714498241661e-05,0.0136881199634517,1.95086956633968,"LAD1","TRUE"
"211991_s_at",1.49262331697819,9.65703918826572,5.13919265882579,5.97624855848846e-05,0.0136881199634517,1.94482033884859,"HLA-DPA1","TRUE"
"205709_s_at",-2.48482909129444,5.78780094893564,-5.13339082521377,6.0533630989293e-05,0.0136881199634517,1.93300550551084,"CDS1","TRUE"
"214084_x_at",1.93304109102477,5.53862778274968,5.13335059540789,6.05390133796533e-05,0.0136881199634517,1.93292356867843,"NCF1","TRUE"
"218261_at",-2.37512474195558,6.60375061959461,-5.13296900933116,6.05900904825293e-05,0.0136881199634517,1.93214637596169,"AP1M2","TRUE"
"204642_at",1.71578927035067,8.36135341631837,5.11248904650513,6.33969129539822e-05,0.0136881199634517,1.89041045206301,"S1PR1","TRUE"
"213095_x_at",2.77291362243185,6.07275457461238,5.10607885901495,6.43024172322772e-05,0.0136881199634517,1.87733775847885,"AIF1","TRUE"
"208131_s_at",3.1658518031358,9.63447239543943,5.10585059620332,6.43349037462549e-05,0.0136881199634517,1.87687216546926,"PTGIS","TRUE"
"205582_s_at",2.3379649056465,4.99504468058081,5.10445919803285,6.45332906660902e-05,0.0136881199634517,1.87403397552979,"GGT5","TRUE"
"208982_at",1.83924839513639,10.1780021456156,5.09760362739609,6.55199108153358e-05,0.0136881199634517,1.86004683686539,"PECAM1","TRUE"
"217022_s_at",5.11328486039307,7.06483702402067,5.09099389205407,6.64857137111422e-05,0.0136881199634517,1.84655645213326,NA,"TRUE"
"209071_s_at",1.52811309359242,9.70409896871056,5.08535287902214,6.73214414807405e-05,0.0136881199634517,1.83503949408473,"RGS5","TRUE"
"215188_at",-1.64026488079181,5.73916730208165,-5.07931051372151,6.82285150868966e-05,0.0136881199634517,1.8226993273825,"STK24","TRUE"
"201792_at",1.63868450610983,9.98691252256825,5.07395558487149,6.90428005036313e-05,0.0136881199634517,1.81175983033902,"AEBP1","TRUE"
"210072_at",2.5917025240605,8.02013740852802,5.06934818432898,6.97513392204214e-05,0.0136881199634517,1.80234500012519,"CCL19","TRUE"
"205101_at",2.24925594720369,5.55104932756101,5.06790174817828,6.99753011279737e-05,0.0136881199634517,1.79938886554839,"CIITA","TRUE"
"210827_s_at",-1.4967796706503,8.19809390007904,-5.06488256026567,7.0445147633494e-05,0.0136881199634517,1.79321772501117,"ELF3","TRUE"
"204072_s_at",1.68944210041882,7.95217416114992,5.06444212650294,7.05139562159419e-05,0.0136881199634517,1.79231740922333,"FRY","TRUE"
"221671_x_at",4.43501913896033,10.1372725003101,5.06124135058955,7.10160725734341e-05,0.0136881199634517,1.7857739035191,NA,"TRUE"
"210298_x_at",2.48384939284821,9.15856436109635,5.05226753337267,7.2443341165818e-05,0.0136881199634517,1.76742251354777,"FHL1","TRUE"
"214110_s_at",1.33235440995919,7.94639530947396,5.05020461683627,7.27755556240524e-05,0.0136881199634517,1.76320266606954,NA,"TRUE"
"205816_at",-1.68138184728473,5.83046497525236,-5.05001224192118,7.28066149236505e-05,0.0136881199634517,1.76280912625317,"ITGB8","TRUE"
"207480_s_at",1.88582182156394,8.86429447406166,5.04408767286191,7.37697899694954e-05,0.0136881199634517,1.75068738352854,"MEIS2","TRUE"
"219457_s_at",1.05813332140173,6.71189466803177,5.04217139014295,7.4084096551356e-05,0.0136881199634517,1.74676585888034,"RIN3","TRUE"
"210299_s_at",2.49748259237668,9.11696737997057,5.04068686299626,7.43285246859785e-05,0.0136881199634517,1.74372762507657,"FHL1","TRUE"
"205440_s_at",3.13612992495504,5.97362074595449,5.0342770045972,7.53933795670201e-05,0.0136957768440902,1.73060657017678,"NPY1R","TRUE"
"217966_s_at",2.65681184443023,8.05671744504661,5.03000150281723,7.61122870876504e-05,0.0136957768440902,1.72185219442257,"NIBAN1","TRUE"
"207134_x_at",1.51160017175007,8.62897957978784,5.01926063775765,7.79492826499216e-05,0.0136957768440902,1.69985121498154,NA,"TRUE"
"204934_s_at",-1.28351437578385,6.5116949199319,-5.01834775905689,7.81074784234879e-05,0.0136957768440902,1.6979807778502,"HPN","TRUE"
"219436_s_at",1.89069838572884,7.87471530106991,5.01494672253666,7.86997393888974e-05,0.0136957768440902,1.69101149190864,"EMCN","TRUE"
"212992_at",1.76594516771746,8.70773746459034,5.0134575365755,7.89605060818615e-05,0.0136957768440902,1.68795953032172,"AHNAK2","TRUE"
"205099_s_at",1.70637313249208,6.77501721945361,5.01159927913955,7.92871342677213e-05,0.0136957768440902,1.6841508692659,"CCR1","TRUE"
"211899_s_at",-1.9506798343801,6.44610312755458,-4.99678040365277,8.19416013472377e-05,0.0140454207909269,1.65376568900535,"TRAF4","TRUE"
"212681_at",1.71882739373535,7.11197188191685,4.9836817523601,8.43632174916001e-05,0.0142722051790788,1.6268892079604,"EPB41L3","TRUE"
"220229_s_at",1.62760621477471,4.08603394865083,4.98181185166764,8.47148107521764e-05,0.0142722051790788,1.62305104331025,"AP4E1","TRUE"
"204736_s_at",1.96774236227999,4.96186360893555,4.97931738250201,8.51861638386876e-05,0.0142722051790788,1.61793034228199,"CSPG4","TRUE"
"220147_s_at",-1.01811759365118,9.93994928400619,-4.96152469279122,8.86266185863397e-05,0.0143949482808327,1.58138714716191,"SINHCAF","TRUE"
