"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"A_23_P109143",-1.74103132481373,-0.265394523376353,-3.26761222964734,0.0023520340836441,0.0378207002272431,-1.61945986727986,"PRNP"
"A_24_P272300",1.31017762798557,-0.362760790799757,3.26812968568859,0.00234871258042394,0.0378127765495513,-1.62151553168395,"NSUN4"
"A_23_P4101",1.63760549344724,0.342464283198289,3.27936876486465,0.00258290017606587,0.0400032995405889,-1.62373037255278,"LRRC37A4P"
"A_24_P21266",-1.79083165624746,-0.339333188293078,-3.26431422481481,0.00229394015486465,0.0373753532580741,-1.62686086433053,"ERLIN2"
"A_23_P163481",1.15492401174787,0.0166355918050752,3.27240197578111,0.00251241042806434,0.0393781943537944,-1.62777822852792,"BUB1B"
"A_32_P12430",-1.38528218355008,-0.110827474412282,-3.26431199093036,0.00246356595509654,0.0388857783603373,-1.62826407005929,"SPG20"
"A_24_P123325",1.99980599384728,0.0802731270899577,3.2704799262482,0.00252528071411754,0.0394410429181866,-1.63369135464964,"TMEM33"
"A_23_P59481",1.00163250948776,0.0783409526040511,3.26027192282423,0.00228323148747548,0.0372970437811915,-1.63480965974037,"UBE3C"
"A_23_P212179",1.0693503040754,0.506323026984909,3.27448700857727,0.00261611900857782,0.0401568972029229,-1.63663168391381,"HRH1"
"A_23_P124760",1.05090316082375,-0.122861525790906,3.26000688362567,0.00232138668228219,0.0375487008740962,-1.63663801379495,"MED24"
"A_24_P475814",1.02207206469355,0.128362337562244,3.25988209837711,0.00232218645481964,0.0375487008740962,-1.6369508542516,"OPA3"
"A_23_P34142",-1.5623365771969,-0.347686026019967,-3.26186614514382,0.00238921972584171,0.0382376009647795,-1.63701856278742,"TCEAL9"
"A_24_P133584",-1.38312329731049,-0.00404638418277983,-3.25927247665434,0.00232609740595778,0.0375763344906193,-1.6395066019345,"MFGE8"
"A_24_P915355",1.71392839460218,0.602401115005076,3.27248835626543,0.00262983703161678,0.0403348063174429,-1.63993138895681,"ZNF445"
"A_23_P94857",1.10532068574625,0.039177813561271,3.26186856928468,0.00252995242857598,0.0394410429181866,-1.6415438901948,"MAN1B1"
"A_23_P21673",1.09783036979627,-0.190459503340194,3.25834225855332,0.00237094183901879,0.0380198442448559,-1.64172472877177,"FOCAD"
"A_23_P145865",-1.10282795374385,0.0858645491558329,-3.25682827146089,0.00227056411429967,0.0372007402539785,-1.64220135765542,"ADAP1"
"A_23_P154605",1.15334820541811,-0.0599400325731197,3.25780378800446,0.00237444763430328,0.038049369233717,-1.64306505272065,"SULF2"
"A_23_P113572",-1.65630326959678,0.21607013041217,-3.26312096084377,0.00257514250498846,0.0399554368651693,-1.65133805644027,"CD19"
"A_23_P150963",-1.36868667676524,0.317314966407581,-3.26279661909336,0.00269734103629401,0.041005207718545,-1.65141218934541,"BEST3"
"A_23_P362759",1.18959733833292,0.523761104838474,3.25773473336021,0.0026704701370572,0.0407109790013618,-1.65302124274253,"PRDM5"
"A_24_P79755",1.32634093635334,0.18707357975625,3.26661966817394,0.00273737643139116,0.041374944073641,-1.65333873876373,"AKR1A1"
"A_23_P432591",1.34210673209126,0.120766041373181,3.25299769901484,0.00236671818308152,0.0379897346288538,-1.65522997520042,"CCDC125"
"A_24_P194688",-1.73206810615891,-0.123985201160004,-3.2556702131955,0.00268502817109435,0.0408671850979009,-1.65789859080249,"MICU3"
"A_32_P31744",-1.08165361386994,0.253801760986009,-3.2515499935508,0.00265545163477378,0.0405454500514743,-1.6579154146231,"MYEF2"
"A_23_P49459",1.38431825773399,0.233200919737765,3.26438592705738,0.00268615866874466,0.0408679854601867,-1.65899007703931,"LOC81691"
"A_23_P380318",-1.33961248220536,0.179278983305713,-3.2618841198458,0.00264143871359806,0.0404309678592478,-1.65957324816395,"EGR4"
"A_24_P332314",1.75287418324313,0.732997102286729,3.25344169693031,0.00258760156216911,0.0400597491335564,-1.66186682746239,"FAM111B"
"A_23_P74269",2.03786551062663,-0.547566557364407,3.2510416294165,0.00241889580690169,0.0384689662847612,-1.66203491059619,"SRM"
"A_23_P72025",1.45588819393629,-0.336385010773073,3.24916538717572,0.00235466162169294,0.0378442733043096,-1.66280817908828,"SLC25A20"
"A_23_P363",2.07442083103836,0.25819819911999,3.25953418171,0.00286145227226864,0.0424578069337471,-1.66294760906132,"SH3D21"
"A_24_P762669",1.54198416107434,-0.114181140311567,3.25251970727887,0.00259398457611932,0.0400604200484676,-1.66408878909896,"TNRC18"
"A_24_P12401",-1.13991671642292,0.0839651278970471,-3.24938672871177,0.00251671755666352,0.0394292683650168,-1.66468736294705,"VEGFA"
"A_23_P370635",-1.21619625452249,-0.314022399134599,-3.24816123359484,0.00239848717082371,0.0382412306150223,-1.66733779123171,"MBOAT2"
"A_24_P322611",1.19118411567637,0.737960396640181,3.26323445667118,0.00276149821539846,0.041586280929429,-1.6699971447177,"DIDO1"
"A_24_P911678",1.55431486977635,0.0458783848630028,3.24655817545856,0.00240910623600566,0.0383615513783783,-1.67031628955631,"PDE5A"
"A_24_P247902",-1.31133669192985,0.0363210960392425,-3.24753656344635,0.00244224527445129,0.0387104044044925,-1.67074971627929,"PCLO"
"A_23_P19243",1.5404937848609,0.455833086042827,3.25600855954912,0.0026826371191302,0.0408636013397759,-1.67078319380455,"AKIRIN2"
"A_24_P371184",1.63404988559526,0.983638291402978,3.27135988071047,0.00293945481606988,0.0431925414455325,-1.67362662167647,"ANKRD53"
"A_24_P364845",-1.37875636924921,0.421878937509982,-3.24661930629982,0.00249062281392964,0.0391869378110182,-1.67469031888186,"ZNF213"
"A_24_P683917",-1.72471635118323,0.276798180066454,-3.25081222065843,0.0026058453721358,0.0400848825687977,-1.6758012468515,"FLNB"
"A_23_P359616",-1.14370362793382,-0.119955486319633,-3.24747894271389,0.0025297489400114,0.0394410429181866,-1.67637383109389,"RPF1"
"A_23_P79927",1.30651818353257,0.443803551771851,3.24680377753891,0.00295642529691487,0.0432779570298186,-1.67873160688278,"NOP56"
"A_24_P244575",-1.41074837330871,-0.0573204585566124,-3.24352087511432,0.00255699039227238,0.0397065966263867,-1.6790403818363,"TPCN1"
"A_23_P149847",1.22327165322232,0.155090005810411,3.24346039226503,0.0025121383410843,0.0393781943537944,-1.6791122417658,"LZTS2"
"A_24_P64233",1.09744761316788,-0.245532055727657,3.24150338911183,0.00236960395675545,0.0380198442448559,-1.68102924874501,"ALDH1B1"
"A_24_P725891",2.1562716241511,0.13666152674588,3.24969760774663,0.00279121941665244,0.0417289091679644,-1.68207752343272,"LOC100190986"
"A_23_P160598",1.37920256088471,-0.180057505481524,3.24171773108196,0.00244144243586431,0.0387104044044925,-1.68241887898136,"TOE1"
"A_23_P100522",-1.06645922718792,0.695324469632568,-3.2604319040297,0.00293451797683146,0.0431739676265379,-1.68438927320691,"DNAH3"
"A_23_P75083",1.33935093706512,0.242929876236116,3.2433323855462,0.00260665625425034,0.0400848825687977,-1.68534265214706,"ZMYND11"
"A_23_P167468",-1.35894426018251,-0.185542757415325,-3.23994264941424,0.00241558474286048,0.0384485642068902,-1.68601694215724,"PRLR"
"A_23_P140668",1.13566363236254,0.317640641273492,3.24139102525079,0.00248370302047536,0.0391384523351217,-1.68601730094723,"IDH3A"
"A_23_P205575",1.31442674632428,0.00141217481860988,3.24021823399279,0.00245154310891298,0.0387443957612867,-1.68720098259589,"GPR135"
"A_23_P92261",1.54733876952321,-0.115232972675349,3.24314666470318,0.00271526993123673,0.0411622327760533,-1.68721722573768,"ECE2"
"A_23_P28652",1.39236561699696,-0.0408541348053249,3.24405343489342,0.00260160950196336,0.0400848825687977,-1.68724930433661,"ATRAID"
"A_24_P942296",-1.19312507643852,-0.109616455311519,-3.23980805217551,0.00258279779330566,0.0400032995405889,-1.68811819243398,"CNOT2"
"A_32_P116323",1.01690247529279,0.244736632445393,3.2448349570957,0.00270314958000933,0.041077039349288,-1.68981892012324,"SMG1"
"A_24_P139665",-1.97077998337588,0.328576778072984,-3.25076263431204,0.00278347116870555,0.0417289091679644,-1.69098651008442,"HPCAL4"
"A_23_P67399",-1.42660396069287,-0.0913670708318428,-3.23991571728855,0.0025364919347317,0.0394942731882619,-1.69122369898658,"STRN4"
"A_32_P57057",1.4249941707097,0.529938457309059,3.25965247282514,0.00294033732845174,0.0431925414455325,-1.69242047763327,"USP15"
"A_32_P228037",-1.21912058833638,0.452809815694438,-3.25060585831079,0.00278461044637204,0.0417289091679644,-1.69277961306804,"PDE11A"
"A_23_P25929",1.38683070254373,-0.143404410354897,3.23834283226461,0.00259305048701325,0.0400604200484676,-1.69640149266374,"EIF2B2"
"A_24_P378928",1.17979326056104,0.011598774583624,3.23490802400678,0.00248763316096791,0.0391840979081585,-1.69942825090597,"GRK3"
"A_24_P10233",-1.1675111657902,0.0839640237874045,-3.23700057688556,0.00260247676355411,0.0400848825687977,-1.69968398996272,"DAPK2"
"A_23_P250644",1.03557179599249,-0.000855003552520057,3.23368035821542,0.00249604836042414,0.0392514216246871,-1.70249261377233,"CDKN2AIPNL"
"A_23_P19176",-1.2803494312991,0.143838563164081,-3.23402533417852,0.00257745931422329,0.0399680132676735,-1.70573633348737,"C5orf46"
"A_24_P44916",1.35362458489438,0.657213812298391,3.23170092968077,0.00274218046109372,0.0414070308251261,-1.70646753321366,"CDC42EP5"
"A_23_P395595",-1.65140332106571,0.158030704236083,-3.24197853768297,0.00278351432936024,0.0417289091679644,-1.70676084338862,"FNBP4"
"A_24_P46417",1.0516284187974,0.0696177374020444,3.23198024553752,0.00263802323466197,0.0404113183511006,-1.70723922919807,"STK10"
"A_23_P1615",1.36811081086362,0.256980840408522,3.23779840561408,0.00281426465416137,0.0419253556376716,-1.70836323997648,"FIBP"
"A_23_P30805",1.29590055405677,0.478315744924305,3.22806673419301,0.00288711689900837,0.0427086032419054,-1.71183567885732,"HIST1H4J"
"A_23_P202374",1.34455895617115,0.0996043940087492,3.22950659387248,0.00260931292345288,0.0400848825687977,-1.71685993235211,"COX15"
"A_23_P204187",-1.32522845639538,-0.296659608426583,-3.22810998067191,0.00257559444264582,0.0399554368651693,-1.71895794285476,"PYROXD1"
"A_23_P161644",-2.18412663366996,-0.0789435968604398,-3.24097503192686,0.00292526265913875,0.0430780321503919,-1.72170720917459,"RBM14"
"A_24_P397107",1.38947019264855,0.213099939067569,3.22749897933377,0.00277305560598633,0.0416941620708935,-1.72426765698839,"CDC25A"
"A_24_P275386",1.26588649759888,0.751102826310582,3.23136177758108,0.00292789810577136,0.0430932953347109,-1.72490754829911,"BRI3BP"
